100.31	 πατρί.	 πατρί	 πατρί	 πατήρ
101.06	 Σώκρατες.	 Σώκρατες	 Σώκρατες	 Σωκράτης
102.01	 ἴσως.	 ἴσως	 ἴσως	 ἴσως
103.10	 ὅσια.	 ὅσια	 ὅσια	 ὅσιος
104.03	 ἔστιν.	 ἔστιν	 ἔστιν	 εἰμί
105.27	 ἐστιν;	 ἐστιν	 ἐστίν	 εἰμί
106.14	 ὅσια·	 ὅσια	 ὅσια	 ὅσιος
107.03	 μνημονεύεις;	 μνημονεύεις	 μνημονεύεις	 μνημονεύω
108.01	 ἔγωγε.	 ἔγωγε	 ἔγωγε	 ἐγώ
109.41	 φῶ.	 φῶ	 φῶ	 φημί
110.10	 φράσω.	 φράσω	 φράσω	 φράζω
111.04	 γε.	 γε	 γέ	 γε
112.13	 ἀνόσιον.	 ἀνόσιον	 ἀνόσιον	 ἀνόσιος
113.12	 ἀπεκρίνω.	 ἀπεκρίνω	 ἀπεκρίνω	 ἀποκρίνω
114.16	 λέγεις.	 λέγεις	 λέγεις	 λέγω
115.03	 οὖν.	 οὖν	 οὖν	 οὖν
116.05	 λέγομεν.	 λέγομεν	 λέγομεν	 λέγω
117.15	 ἀνόσιος·	 ἀνόσιος	 ἀνόσιος	 ἀνόσιος
118.11	 ἀνοσίῳ·	 ἀνοσίῳ	 ἀνοσίῳ	 ἀνόσιος
119.02	 οὕτως;	 οὕτως	 οὕτως	 οὕτως
120.03	 οὖν.	 οὖν	 οὖν	 οὖν
121.05	 εἰρῆσθαι;	 εἰρῆσθαι	 εἰρῆσθαι	 ἐρῶ
122.03	 Σώκρατες.	 Σώκρατες	 Σώκρατες	 Σωκράτης
123.22	 εἴρηται;	 εἴρηται	 εἴρηται	 ἔρομαι
124.02	 γάρ.	 γάρ	 γάρ	 γάρ
125.11	 ποιεῖ;	 ποιεῖ	 ποιεῖ	 ποιέω
126.03	 σκοπῶμεν.	 σκοπῶμεν	 σκοπῶμεν	 σκοπάω
127.34	 ἀπαλλαγεῖμεν;	 ἀπαλλαγεῖμεν	 ἀπαλλαγεῖμεν	 ἀπαλλάσσω
128.02	 γε.	 γε	 γέ	 γε
129.18	 διαφορᾶς;	 διαφορᾶς	 διαφορᾶς	 διαφορά
130.02	 ταῦτα.	 ταῦτα	 ταῦτα	 οὗτος
131.16	 ἄν;	 ἄν	 ἄν	 ἄν
132.03	 οὔ;	 οὔ	 οὔ	 οὐ
133.19	 ὀργιζοίμεθα;	 ὀργιζοίμεθα	 ὀργιζοίμεθα	 ὀργίζω
134.26	 κακόν.	 κακόν	 κακόν	 κακός
135.29	 πάντες;	 πάντες	 πάντες	 πᾶς
136.10	 τούτων.	 τούτων	 τούτων	 οὗτος
137.06	 Εὐθύφρων;	 Εὐθύφρων	 Εὐθύφρων	 εὐθύφρων
138.09	 ἄν;	 ἄν	 ἄν	 ἄν
139.02	 ἀνάγκη.	 ἀνάγκη	 ἀνάγκη	 ἀνάγκη
140.23	 κακά·	 κακά	 κακά	 κακός
141.11	 διεφέροντο·	 διεφέροντο	 διεφέροντο	 διαφέρω
142.02	 γάρ;	 γάρ	 γάρ	 γάρ
143.02	 λέγεις.	 λέγεις	 λέγεις	 λέγω
144.17	 μισοῦσιν;	 μισοῦσιν	 μισοῦσιν	 μισέω
145.02	 γε.	 γε	 γέ	 γε
146.22	 ἀλλήλοις·	 ἀλλήλοις	 ἀλλήλοις	 ἀλλήλων
147.03	 οὕτω;	 οὕτω	 οὕτω	 οὕτως
148.01	 οὕτω.	 οὕτω	 οὕτω	 οὕτως
149.19	 εἴη.	 εἴη	 εἴη	 ἀίω
150.01	 ἔοικεν.	 ἔοικεν	 ἔοικεν	 ἔοικα
151.14	 λόγῳ.	 λόγῳ	 λόγῳ	 λόγος
152.01	 κινδυνεύει.	 κινδυνεύει	 κινδυνεύει	 κινδυνεύω
153.07	 θαυμάσιε.	 θαυμάσιε	 θαυμάσιε	 θαυμάσιος
154.13	 ἀνόσιον·	 ἀνόσιον	 ἀνόσιον	 ἀνόσιος
155.10	 ἔοικεν.	 ἔοικεν	 ἔοικεν	 ἔοικα
156.52	 αὐτά.	 αὐτά	 αὐτά	 αὐτός
157.24	 ἀποκτείνῃ.	 ἀποκτείνῃ	 ἀποκτείνῃ	 ἀποκτείνω
158.02	 δέ;	 δέ	 δέ	 δέ
159.20	 διδόναι;	 διδόναι	 διδόναι	 δίδωμι
160.12	 δικαστηρίοις·	 δικαστηρίοις	 δικαστηρίοις	 δικαστήριον
161.10	 δίκην.	 δίκην	 δίκην	 δίκη
162.15	 δίκην;	 δίκην	 δίκην	 δίκη
163.03	 γε.	 γε	 γέ	 γε
164.07	 λέγουσι·	 λέγουσι	 λέγουσι	 λέγω
165.20	 ἀδικεῖν·	 ἀδικεῖν	 ἀδικεῖν	 ἀδικέω
166.02	 γάρ;	 γάρ	 γάρ	 γάρ
167.02	 λέγεις.	 λέγεις	 λέγεις	 λέγω
168.26	 πότε.	 πότε	 πότε	 πότε
169.02	 λέγεις.	 λέγεις	 λέγεις	 λέγω
170.29	 φασιν;	 φασιν	 φασίν	 φημί
171.20	 δίκην.	 δίκην	 δίκην	 δίκη
172.10	 κεφάλαιον.	 κεφάλαιον	 κεφάλαιον	 κεφάλαιος
173.18	 θεοί·	 θεοί	 θεοί	 θεός
174.13	 ἀδίκως·	 ἀδίκως	 ἀδίκως	 ἄδικος
175.03	 οὕτω;	 οὕτω	 οὕτω	 οὕτως
176.02	 γε.	 γε	 γέ	 γε
177.65	 πατρί;	 πατρί	 πατρί	 πατήρ
178.19	 πρᾶξιν·	 πρᾶξιν	 πρᾶξιν	 πρᾶξις
179.10	 παύσομαι.	 παύσομαι	 παύσομαι	 παύω
180.16	 σοι.	 σοι	 σοι	 σύ
181.01	 μανθάνω·	 μανθάνω	 μανθάνω	 μανθάνω
182.24	 μισοῦσιν.	 μισοῦσιν	 μισοῦσιν	 μισέω
183.10	 λέγοντος.	 λέγοντος	 λέγοντος	 λέγω
184.02	 ἀκούσονται.	 ἀκούσονται	 ἀκούσονται	 ἀκούω
185.04	 λέγειν.	 λέγειν	 λέγειν	 λέγω
186.10	 σκοπῶ·	 σκοπῶ	 σκοπῶ	 σκοπάω
187.31	 ἀνόσιον;	 ἀνόσιον	 ἀνόσιον	 ἀνόσιος
188.10	 ἄν.	 ἄν	 ἄν	 ἄν
189.11	 μή·	 μή	 μή	 μή
190.07	 ἐφάνη.	 ἐφάνη	 ἐφάνη	 φαίνω
191.07	 Εὐθύφρων·	 Εὐθύφρων	 Εὐθύφρων	 εὐθύφρων
192.10	 μισούντων.	 μισούντων	 μισούντων	 μισέω
193.24	 ὅσιον·	 ὅσιον	 ὅσιον	 ὅσιος
194.24	 ἀνοσίου;	 ἀνοσίου	 ἀνοσίου	 ἀνόσιος
195.05	 Σώκρατες;	 Σώκρατες	 Σώκρατες	 Σωκράτης
196.20	 ὑπέσχου.	 ὑπέσχου	 ὑπέσχου	 ὑπέχω
197.23	 ἀνόσιον.	 ἀνόσιον	 ἀνόσιον	 ἀνόσιος
198.29	 ἔχειν;	 ἔχειν	 ἔχειν	 ἔχω
199.06	 λέγων;	 λέγων	 λέγων	 λέγω
200.01	 σκεπτέον·	 σκεπτέον	 σκεπτέον	 σκεπτέος
201.07	 λέγεσθαι.	 λέγεσθαι	 λέγεσθαι	 λέγω
202.04	 εἰσόμεθα.	 εἰσόμεθα	 εἰσόμεθα	 εἶμι
203.04	 τοιόνδε·	 τοιόνδε	 τοιόνδε	 τοιόσδε
204.15	 ἐστιν;	 ἐστιν	 ἐστίν	 εἰμί
205.06	 Σώκρατες.	 Σώκρατες	 Σώκρατες	 Σωκράτης
206.05	 φράσαι.	 φράσαι	 φράσαι	 φράζω
207.25	 ἕτερα;	 ἕτερα	 ἕτερα	 ἕτερος
208.04	 μανθάνειν.	 μανθάνειν	 μανθάνειν	 μανθάνω
209.10	 φιλοῦν;	 φιλοῦν	 φιλοῦν	 φιλέω
210.03	 οὔ;	 οὔ	 οὔ	 οὐ
211.14	 τι;	 τι	 τὶ	 τις
212.04	 τοῦτο.	 τοῦτο	 τοῦτο	 οὗτος
213.11	 ὁρᾶται;	 ὁρᾶται	 ὁρᾶται	 ὁράω
214.02	 γε.	 γε	 γέ	 γε
215.17	 ὁρώμενον·	 ὁρώμενον	 ὁρώμενον	 ὁράω
216.13	 ἀγόμενον·	 ἀγόμενον	 ἀγόμενον	 ἄγω
217.08	 φερόμενον.	 φερόμενον	 φερόμενον	 φέρω
218.07	 λέγειν;	 λέγειν	 λέγειν	 λέγω
219.20	 ἐστιν·	 ἐστιν	 ἐστίν	 εἰμί
220.10	 ἐστίν·	 ἐστίν	 ἐστίν	 εἰμί
221.04	 οὕτω;	 οὕτω	 οὕτω	 οὕτως
222.01	 ἔγωγε.	 ἔγωγε	 ἔγωγε	 ἐγώ
223.13	 του;	 του	 του	 τις
224.02	 γε.	 γε	 γέ	 γε
225.08	 πρότερα·	 πρότερα	 πρότερα	 πρότερος
226.12	 φιλούμενον;	 φιλούμενον	 φιλούμενον	 φιλέω
227.01	 ἀνάγκη.	 ἀνάγκη	 ἀνάγκη	 ἀνάγκη
228.09	 Εὐθύφρων;	 Εὐθύφρων	 Εὐθύφρων	 εὐθύφρων
229.10	 λόγος;	 λόγος	 λόγος	 λόγος
230.01	 ναί.	 ναί	 ναί	 ναί
231.10	 τι;	 τι	 τὶ	 τις
232.04	 τοῦτο.	 τοῦτο	 τοῦτο	 οὗτος
233.13	 ἐστιν;	 ἐστιν	 ἐστίν	 εἰμί
234.01	 ἔοικεν.	 ἔοικεν	 ἔοικεν	 ἔοικα
235.12	 θεοφιλές.	 θεοφιλές	 θεοφιλές	 θεοφιλής
236.03	 οὔ;	 οὔ	 οὔ	 οὐ
237.19	 τούτου.	 τούτου	 τούτου	 οὗτος
238.04	 Σώκρατες;	 Σώκρατες	 Σώκρατες	 Σωκράτης
239.17	 εἶναι·	 εἶναι	 εἶναι	 εἰμί
240.02	 γάρ;	 γάρ	 γάρ	 γάρ
241.01	 ναί.	 ναί	 ναί	 ναί
242.21	 φιλεῖσθαι.	 φιλεῖσθαι	 φιλεῖσθαι	 φιλέω
243.02	 λέγεις.	 λέγεις	 λέγεις	 λέγω
244.51	 ἦν·	 ἦν	 ἦν	 εἰμί
245.11	 ἀλλήλων.	 ἀλλήλων	 ἀλλήλων	 ἀλλήλων
246.08	 φιλεῖσθαι·	 φιλεῖσθαι	 φιλεῖσθαι	 φιλέω
247.09	 φιλεῖται.	 φιλεῖται	 φιλεῖται	 φιλέω
248.33	 θεῶν·	 θεῶν	 θεῶν	 θέα
249.05	 εἶπες.	 εἶπες	 εἶπες	 εἶπον
250.40	 ἀνόσιον;	 ἀνόσιον	 ἀνόσιον	 ἀνόσιος
251.11	 νοῶ·	 νοῶ	 νοῶ	 νοέω
252.16	 αὐτό.	 αὐτό	 αὐτό	 αὐτός
253.12	 λεγόμενα.	 λεγόμενα	 λεγόμενα	 λέγω
254.35	 θῇ·	 θῇ	 θῇ	 θάομαι
255.07	 εἰσίν.	 εἰσίν	 εἰσίν	 εἰμί
256.05	 σκώμματος·	 σκώμματος	 σκώμματος	 σκῶμμα
257.10	 δοκεῖ.	 δοκεῖ	 δοκεῖ	 δοκέω
258.13	 λεγόμενα·	 λεγόμενα	 λεγόμενα	 λέγω
259.30	 οὕτως.	 οὕτως	 οὕτως	 οὕτως
260.31	 ἀλλότρια.	 ἀλλότρια	 ἀλλότρια	 ἀλλότριος
261.12	 σοφός·	 σοφός	 σοφός	 σοφός
262.20	 γενέσθαι.	 γενέσθαι	 γενέσθαι	 γίγνομαι
263.04	 ἅδην·	 ἅδην	 ἅδην	 ἅδην
264.16	 τοῦ	 ὁσίου	 ὁσίου	 ὅσιος
265.03	 προαποκάμῃς·	 προαποκάμῃς	 προαποκάμῃς	 προαποκάμνω
266.12	 ὅσιον.	 ὅσιον	 ὅσιον	 ὅσιος
267.01	 ἔμοιγε.	 ἔμοιγε	 ἔμοιγε	 ἐγώ
268.07	 ὅσιον;	 ὅσιον	 ὅσιον	 ὅσιος
269.22	 ἄλλο;	 ἄλλο	 ἄλλο	 ἄλλος
270.06	 λεγομένοις.	 λεγομένοις	 λεγομένοις	 λέγω
271.11	 σοφώτερος·	 σοφώτερος	 σοφώτερος	 σοφός
272.08	 σοφίας.	 σοφίας	 σοφίας	 σοφία
273.05	 σαυτόν·	 σαυτόν	 σαυτόν	 σαυτοῦ
274.07	 λέγω.	 λέγω	 λέγω	 λέγω
275.23	 ἐθέλει	 νεικεῖν	 νεικεῖν	 νεικέω
276.06	 αἰδώς.	 αἰδώς	 αἰδώς	 αἰδώς
277.06	 ποιητῇ.	 ποιητῇ	 ποιητῇ	 ποιητής
278.03	 ὅπῃ;	 ὅπῃ	 ὅπῃ	 ὅπη
281.02	 δοκεῖ	 γε	 γέ	 γε
282.30	 δεδίασιν·	 δεδίασιν	 δεδίασιν	 δείδω
283.04	 δοκεῖ;	 δοκεῖ	 δοκεῖ	 δοκέω
284.02	 γε.	 γε	 γέ	 γε
285.08	 εἶναι·	 εἶναι	 εἶναι	 εἰμί
286.16	 πονηρίας;	 πονηρίας	 πονηρίας	 πονηρία
287.03	 οὖν.	 οὖν	 οὖν	 οὖν
288.05	 λέγειν·	 λέγειν	 λέγειν	 λέγω
289.20	 αἰδώς·	 αἰδώς	 αἰδώς	 αἰδώς
290.06	 αἰδοῦς.	 αἰδοῦς	 αἰδοῦς	 αἰδώ
291.20	 ἀριθμός.	 ἀριθμός	 ἀριθμός	 ἀριθμός
